commit	val_auc	val_bacc	test_auc	test_bacc	composite	delta	vram_gb	elapsed_min	status	description
242707d	0.864740	0.776430	0.872136	0.818707	0.845422	+0.005197	0.4	78.7	keep	g1_no_inst_gc05
242707d	0.862581	0.792876	0.866133	0.793066	0.829600	-0.015822	0.4	83.2	discard	g1_no_inst_gc1_wd5e4
242707d	0.862581	0.796324	0.865558	0.793066	0.829312	-0.016109	0.4	84.0	discard	g1_no_inst_gc1
242707d	0.862581	0.796448	0.865855	0.797155	0.831505	-0.013917	0.4	84.4	discard	g1_no_inst_wd5e4
242707d	0.865764	0.793795	0.875085	0.776465	0.825775	-0.019647	0.4	88.1	discard	g1_bw09
242707d	0.862581	0.793672	0.865833	0.814617	0.840225	-0.005197	0.4	92.5	discard	g1_no_inst_p15
242707d	0.866844	0.791142	0.862378	0.764684	0.813531	-0.031891	0.4	75.9	discard	g1_bw09_gc05
242707d	0.863111	0.777226	0.866092	0.794569	0.830330	-0.015091	0.4	76.1	discard	g15_no_inst_gc05
242707d	0.864210	0.784123	0.870968	0.798017	0.834492	-0.010929	0.4	76.5	discard	g1_no_inst_gc05_d025
242707d	0.867923	0.780940	0.863304	0.779118	0.821211	-0.024211	0.4	81.2	discard	g05_no_inst_gc05
242707d	0.866862	0.789551	0.867876	0.771580	0.819728	-0.025694	0.4	81.2	discard	g1_bw095_gc05
242707d	0.866389	0.778941	0.871937	0.779339	0.825638	-0.019784	0.4	83.2	discard	g1_gc05
b12dffb	0.848750	0.741682	0.826361	0.720718	0.773540	-0.071882	0.4	45.5	discard	custom_mh_attn_4h
0d15544	0.864740	0.776430	0.872136	0.818707	0.845422	+0.000000	0.4	62.9	discard	swa_g1_no_inst_gc05
0d42217	0.863869	0.782408	0.845447	0.771646	0.808547	-0.036875	0.4	52.0	discard	ab_mil_g1_alpha_gc05
0d42217	0.863945	0.733318	0.813509	0.756761	0.785135	-0.060287	0.4	61.2	discard	clam_sb_g1_no_inst_gc05
0d42217	0.863935	0.788367	0.874965	0.815258	0.845112	-0.000310	0.4	63.2	discard	patch_drop15_g1_no_inst_gc05
0d42217	0.870462	0.780674	0.853376	0.780678	0.817027	-0.028395	0.4	71.1	discard	mixup_g1_no_inst_gc05
0d42217	0.867905	0.793672	0.862069	0.784034	0.823052	-0.022370	0.4	73.2	discard	ls005_g1_no_inst_gc05
0d42217	0.864210	0.776430	0.872357	0.818707	0.845532	+0.000110	0.4	96.9	keep	noise001_g1_no_inst_gc05
0d42217	0.858867	0.766758	0.871580	0.763534	0.817557	-0.027975	0.4	93.3	discard	warm_restarts_g1_no_inst_gc05
0d42217	0.864210	0.784123	0.871517	0.801465	0.836491	-0.009041	0.4	92.1	discard	d02_g1_no_inst_gc05
0d42217	0.866313	0.788632	0.865176	0.786810	0.825993	-0.019539	0.4	93.9	discard	pd10_noise001_g1_no_inst_gc05
0d42217	0.852539	0.755741	0.849122	0.722354	0.785738	-0.059794	0.4	88.3	discard	uni_v2_g1_no_inst_gc05
0d42217	0.866597	0.788632	0.864333	0.797155	0.830744	-0.014788	0.4	92.7	discard	wd5e4_g1_no_inst_gc05
0d42217	0.869496	0.787022	0.861617	0.783362	0.822490	-0.023042	0.4	72.8	discard	bs16_g1_no_inst_gc05
0d42217	0.861273	0.780674	0.869013	0.809158	0.839085	-0.006447	0.4	87.5	discard	no_warmup_g1_no_inst_gc05
0d42217	0.864778	0.787694	0.872240	0.802261	0.837251	-0.008281	0.4	97.4	discard	lr2e4_g1_no_inst_gc05
0d42217	0.865764	0.792203	0.866452	0.796359	0.831406	-0.014126	0.6	72.7	discard	seq8192_g1_no_inst_gc05
0d42217	0.854623	0.735705	0.833858	0.745718	0.789788	-0.055744	0.4	48.9	discard	lr4e4_g1_no_inst_gc05
0d42217	0.867393	0.779206	0.862265	0.797155	0.829710	-0.015822	0.4	64.0	discard	warm10_g1_no_inst_gc05
0d42217	0.854661	0.744458	0.838029	0.722155	0.780092	-0.065440	0.6	56.4	discard	mbs8_g1_no_inst_gc05
0d42217	0.864210	0.784123	0.871849	0.798017	0.834933	-0.010599	0.4	64.8	discard	d005_g1_no_inst_gc05
0d42217	0.710307	0.507692	0.695481	0.493103	0.594292	-0.251240	0.4	70.6	discard	sgd_g1_no_inst_gc05
0d42217	0.850379	0.748967	0.868552	0.808362	0.838457	-0.007075	0.4	56.4	discard	plateau_lr_g1_no_inst_gc05
0d42217	0.858753	0.781309	0.870690	0.806376	0.838533	-0.006999	0.5	103.4	discard	fusion_hop1_uni2_g1_no_inst_gc05
0d42217	0.829159	0.715280	0.834862	0.754475	0.794668	-0.050864	0.4	121.3	discard	ema999_g1_no_inst_gc05
